Year,Month,Day,Count
2024,11,6,"5,854"
2024,11,7,"5,675"
2024,11,8,"6,575"
2024,11,9,"5,963"
2024,11,10,"7,081"
2024,11,11,"7,240"
2024,11,12,"4,889"
2024,11,13,"5,062"
2024,11,14,"5,196"
2024,11,15,"6,490"
2024,11,16,"6,136"
2024,11,17,"6,535"
2024,11,18,"6,217"
2024,11,19,"5,282"
2024,11,20,"6,147"
2024,11,21,"5,569"
2024,11,22,"6,915"
2024,11,23,"6,136"
2024,11,24,"6,088"
2024,11,25,"6,052"
2024,11,26,"4,453"
2024,11,27,"5,516"
2024,11,28,"6,015"
2024,11,29,"7,594"
2024,11,30,"8,859"
2024,12,1,"6,415"
2024,12,2,"7,164"
2024,12,3,"4,703"
2024,12,4,"5,676"
2024,12,5,"5,258"
2024,12,6,"6,058"
2024,12,7,"5,917"
2024,12,8,"5,984"
2024,12,9,"6,119"
2024,12,10,"5,507"
2024,12,11,"9,847"
2024,12,12,"6,222"
2024,12,13,"7,584"
2024,12,14,"6,863"
2024,12,15,"7,798"
2024,12,16,"8,425"
2024,12,17,"7,135"
2024,12,18,"7,852"
2024,12,19,"8,653"
2024,12,20,"10,649"
2024,12,21,"10,734"
2024,12,22,"10,820"
2024,12,23,"11,284"
2024,12,24,"9,420"
2024,12,25,"9,378"
2024,12,26,"10,493"
2024,12,27,"11,232"
2024,12,28,"10,050"
2024,12,29,"9,847"
2024,12,30,"8,900"
2024,12,31,"6,605"
2025,1,1,"6,879"
2025,1,2,"9,391"
2025,1,3,"8,974"
2025,1,4,"6,990"
2025,1,5,"7,180"
2025,1,6,"8,065"
2025,1,7,"7,372"
2025,1,8,"8,333"
2025,1,9,"7,756"
2025,1,10,"8,477"
2025,1,11,"8,373"
2025,1,12,"8,219"
2025,1,13,"8,715"
2025,1,14,"7,687"
2025,1,15,"8,196"
2025,1,16,"8,050"
2025,1,17,"8,710"
2025,1,18,"8,322"
2025,1,19,"8,069"
2025,1,20,"8,715"
2025,1,21,"7,615"
2025,1,22,"7,516"
2025,1,23,"8,091"
2025,1,24,"9,788"
2025,1,25,"9,224"
2025,1,26,"8,332"
2025,1,27,"8,511"
2025,1,28,"7,608"
2025,1,29,"7,383"
2025,1,30,"7,790"
2025,1,31,"8,376"
2025,2,1,"9,099"
2025,2,2,"9,096"
2025,2,3,"9,974"
2025,2,4,"7,897"
2025,2,5,"8,224"
2025,2,6,"8,236"
2025,2,7,"9,138"
2025,2,8,"9,174"
2025,2,9,"8,837"
2025,2,10,"9,300"
2025,2,11,"7,730"
2025,2,12,"7,836"
2025,2,13,"10,497"
2025,2,14,"9,789"
2025,2,15,"9,040"
2025,2,16,"7,942"
2025,2,17,"9,323"
2025,2,18,"7,964"
2025,2,19,"8,003"
2025,2,20,"8,333"
2025,2,21,"9,001"
2025,2,22,"10,815"
2025,2,23,"8,738"
2025,2,24,"8,851"
2025,2,25,"6,569"
2025,2,26,"6,450"
2025,2,27,"6,482"
2025,2,28,"7,879"
2025,3,1,"7,667"
2025,3,2,"8,375"
2025,3,3,"8,187"
2025,3,4,"6,595"
2025,3,5,"6,945"
2025,3,6,"7,311"
2025,3,7,"8,033"
2025,3,8,"9,073"
2025,3,9,"8,263"
2025,3,10,"7,439"
2025,3,11,"6,127"
2025,3,12,"6,383"
2025,3,13,"7,457"
2025,3,14,"7,897"
2025,3,15,"7,778"
2025,3,16,"7,752"
2025,3,17,"8,002"
2025,3,18,"6,589"
2025,3,19,"6,594"
2025,3,20,"6,516"
2025,3,21,"8,228"
2025,3,22,"7,479"
2025,3,23,"7,627"
2025,3,24,"7,058"
2025,3,25,"5,789"
2025,3,26,"6,819"
2025,3,27,"7,010"
2025,3,28,"8,619"
2025,3,29,"8,259"
2025,3,30,"7,143"
2025,3,31,"6,284"
2025,4,1,"6,053"
2025,4,2,"6,321"
2025,4,3,"6,178"
2025,4,4,"6,516"
2025,4,5,"6,934"
2025,4,6,"6,613"
2025,4,7,"6,293"
2025,4,8,"5,634"
2025,4,9,"6,027"
2025,4,10,"6,192"
2025,4,11,"6,348"
2025,4,12,"7,585"
2025,4,13,"6,307"
2025,4,14,"6,063"
2025,4,15,"4,851"
2025,4,16,"5,460"
2025,4,17,"6,491"
2025,4,18,"7,170"
2025,4,19,"5,791"
2025,4,20,"5,118"
2025,4,21,"5,204"
2025,4,22,"4,830"
2025,4,23,"5,164"
2025,4,24,"5,177"
2025,4,25,"5,655"
2025,4,26,"5,661"
2025,4,27,"5,469"
2025,4,28,"4,008"
2025,4,29,"4,194"
2025,4,30,"5,301"
2025,5,1,"6,311"
2025,5,2,"5,505"
2025,5,3,"4,591"
2025,5,4,"4,115"
2025,5,5,"4,246"
2025,5,6,"4,248"
2025,5,7,"4,895"
2025,5,8,"3,961"
2025,5,9,"4,594"
2025,5,10,"4,495"
2025,5,11,"5,864"
2025,5,12,"3,377"
2025,5,13,"3,553"
2025,5,14,"3,573"
2025,5,15,"4,021"
2025,5,16,"4,494"
2025,5,17,"4,364"
2025,5,18,"4,214"
2025,5,19,"4,071"
2025,5,20,"3,767"
2025,5,21,"3,526"
2025,5,22,"4,124"
2025,5,23,"4,803"
2025,5,24,"4,314"
2025,5,25,"4,186"
2025,5,26,"3,768"
2025,5,27,"3,504"
2025,5,28,"3,636"
2025,5,29,"3,953"
2025,5,30,"4,528"
2025,5,31,"4,318"
2025,6,1,"3,898"
2025,6,2,"3,752"
2025,6,3,"4,064"
2025,6,4,"4,158"
2025,6,5,"5,421"
2025,6,6,"5,211"
2025,6,7,"5,043"
2025,6,8,"4,535"
2025,6,9,"3,911"
2025,6,10,"3,969"
2025,6,11,"3,551"
2025,6,12,"4,014"
2025,6,13,"4,122"
2025,6,14,"4,138"
2025,6,15,"4,069"
2025,6,16,"3,678"
2025,6,17,"3,533"
2025,6,18,"3,503"
2025,6,19,"4,098"
2025,6,20,"4,836"
2025,6,21,"4,906"
2025,6,22,"5,076"
2025,6,23,"5,083"
2025,6,24,"4,993"
2025,6,25,"5,807"
2025,6,26,"7,100"
2025,6,27,"6,012"
2025,6,28,"5,617"
2025,6,29,"5,101"
2025,6,30,"5,042"
2025,7,1,"5,335"
2025,7,2,"5,046"
2025,7,3,"6,640"
2025,7,4,"6,325"
2025,7,5,"6,775"
2025,7,6,"5,881"
2025,7,7,"6,231"
2025,7,8,"6,067"
2025,7,9,"5,047"
2025,7,10,"6,322"
2025,7,11,"6,722"
2025,7,12,"6,952"
2025,7,13,"6,428"
2025,7,14,"6,724"
2025,7,15,"6,456"
2025,7,16,"5,814"
2025,7,17,"6,795"
2025,7,18,"6,944"
2025,7,19,"7,167"
2025,7,20,"6,337"
2025,7,21,"6,956"
2025,7,22,"6,312"
2025,7,23,"5,912"
2025,7,24,"6,930"
2025,7,25,"7,521"
2025,7,26,"7,579"
2025,7,27,"6,692"
2025,7,28,"6,737"
2025,7,29,"6,387"
2025,7,30,"6,070"
2025,7,31,"7,140"
2025,8,1,"8,140"
2025,8,2,"8,481"
2025,8,3,"7,711"
2025,8,4,"8,441"
2025,8,5,"7,274"
2025,8,6,"6,494"
2025,8,7,"7,676"
2025,8,8,"7,223"
2025,8,9,"8,204"
2025,8,10,"7,838"
2025,8,11,"6,605"
2025,8,12,"7,188"
2025,8,13,"8,131"
2025,8,14,"7,987"
2025,8,15,"7,998"
2025,8,16,"7,367"
2025,8,17,"6,468"
2025,8,18,"5,833"
2025,8,19,"5,713"
2025,8,20,"5,983"
2025,8,21,"5,080"
2025,8,22,"5,235"
2025,8,23,"5,038"
2025,8,24,"4,658"
2025,8,25,"4,007"
2025,8,26,"4,250"
2025,8,27,"3,946"
2025,8,28,"4,369"
2025,8,29,"4,150"
2025,8,30,"5,022"
2025,8,31,"5,725"
2025,9,1,"5,278"
2025,9,2,"5,414"
2025,9,3,"4,796"
2025,9,4,"5,940"
2025,9,5,"5,596"
2025,9,6,"5,222"
2025,9,7,"5,249"
2025,9,8,"4,936"
2025,9,9,"5,098"
2025,9,10,"4,716"
2025,9,11,"5,495"
2025,9,12,"6,080"
2025,9,13,"5,953"
2025,9,14,"5,585"
2025,9,15,"5,029"
2025,9,16,"5,380"
2025,9,17,"4,625"
2025,9,18,"5,447"
2025,9,19,"5,389"
2025,9,20,"5,954"
2025,9,21,"4,642"
2025,9,22,"4,614"
2025,9,23,"5,379"
2025,9,24,"4,561"
2025,9,25,"4,666"
2025,9,26,"5,891"
2025,9,27,"6,150"
2025,9,28,"5,588"
2025,9,29,"4,959"
2025,9,30,"5,339"
2025,10,1,"6,751"
2025,10,2,"6,021"
2025,10,3,"6,146"
2025,10,4,"5,802"
2025,10,5,"4,847"
2025,10,6,"4,478"
2025,10,7,"4,429"
2025,10,8,"4,216"
2025,10,9,"4,177"
2025,10,10,"5,259"
2025,10,11,"5,378"
2025,10,12,"5,235"
2025,10,13,"4,376"
2025,10,14,"4,098"
2025,10,15,"4,442"
2025,10,16,"4,911"
2025,10,17,"5,768"
2025,10,18,"6,552"
2025,10,19,"5,976"
2025,10,20,"4,626"
2025,10,21,"5,041"
2025,10,22,"5,535"
2025,10,23,"5,604"
2025,10,24,"7,145"
2025,10,25,"5,443"
2025,10,26,"4,583"
2025,10,27,"5,618"
2025,10,28,"5,577"
2025,10,29,"5,028"
2025,10,30,"5,216"
2025,10,31,"6,915"
2025,11,1,"7,412"
2025,11,2,"7,205"
2025,11,3,"6,173"
2025,11,4,"6,330"
2025,11,5,"5,695"
2025,11,6,"7,021"
2025,11,7,"7,159"
2025,11,8,"7,742"
2025,11,9,"7,153"
2025,11,10,"7,292"
2025,11,11,"7,102"
2025,11,12,"5,986"
2025,11,13,"6,922"
2025,11,14,"6,510"
2025,11,15,"7,463"
2025,11,16,"7,558"
2025,11,17,"6,757"
2025,11,18,"7,245"
2025,11,19,"8,058"
2025,11,20,"7,562"
2025,11,21,"7,764"
2025,11,22,"8,530"
2025,11,23,"7,653"
2025,11,24,"6,856"
2025,11,25,"6,512"
2025,11,26,"6,272"
2025,11,27,"7,425"
2025,11,28,"6,410"
2025,11,29,"6,793"
2025,11,30,"8,346"
2025,12,1,"6,328"
2025,12,2,"8,178"
2025,12,3,"5,221"
2025,12,4,"5,319"
2025,12,5,"5,927"
2025,12,6,"6,026"
2025,12,7,"6,977"
2025,12,8,"6,245"
